Date,Reported Cause of Incident,cause_sub ,State,County,Operator ID,Operator Name,System Type,Report ID,Fatalities,Injuries,Cost_Reported,Total Cost Current Year Dollars,b_spilled,b_lost
,CORROSION,INTERNAL,LA,OFFSHORE LA,2620,"COLUMBIA GULF TRANSMISSION, LLC",GAS TRANSMISSION,19990050,0,0,350000,516450,0,0
01/18/1999,ALL OTHER CAUSES,MISCELLANEOUS,LA,IBERVILLE,15679,"PLAQUEMINE, CITY OF",GAS DISTRIBUTION,19990031,0,1,0,0,0,0
01/19/1999,CORROSION,UNSPECIFIED CORROSION,TX,HARRIS,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,19990045,0,1,75000,110668,0,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,LA,IBERVILLE,8010,IBERVILLE PARISH NATURAL GAS SYSTEM,GAS DISTRIBUTION,19990027,0,0,0,0,0,0
01/21/1999,CORROSION,INTERNAL,LA,,2731,CHEVRON PIPE LINE CO,HAZARDOUS LIQUID,19990024,0,0,150000,221336,"5,000",20
01/22/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,AL,JACKSON,1736,BRIDGEPORT UTILITIES BOARD,GAS DISTRIBUTION,19990073,4,5,0,0,0,0
,NATURAL FORCE DAMAGE,EARTH MOVEMENT,AR,WHITE,603,CENTERPOINT ENERGY RESOURCES CORP.,GAS DISTRIBUTION,19990028,0,0,0,0,0,0
01/23/1999,ALL OTHER CAUSES,MISCELLANEOUS,WI,WASHINGTON,22430,WEST SHORE PIPELINE CO,HAZARDOUS LIQUID,19990023,0,0,400000,590228,660,40
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OK,KAY,603,CENTERPOINT ENERGY RESOURCES CORP.,GAS DISTRIBUTION,19990033,0,0,5000,7378,0,0
01/24/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,CA,PLACER,4472,CYPRESS INTERSTATE PIPELINE LLC,HAZARDOUS LIQUID,19990037,0,0,200000,295114,0,0
01/25/1999,ALL OTHER CAUSES,MISCELLANEOUS,TX,POLK,20245,MIDCON TEXAS PIPELINE CORP.,GAS TRANSMISSION,19990055,0,0,100000,147557,0,0
01/28/1999,CORROSION,INTERNAL,OCS,,30950,EL PASO FIELD SERVICES,HAZARDOUS LIQUID,19990027,0,0,60000,88534,1,1
01/29/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,WY,LARAMIE,2332,CHEYENNE LIGHT FUEL & POWER,GAS DISTRIBUTION,19990029,0,0,100000,147557,0,0
01/30/1999,NATURAL FORCE DAMAGE,EARTH MOVEMENT,LA,EAST CARROLL PARISH,18516,SOUTHERN NATURAL GAS CO,GAS TRANSMISSION,19990057,0,0,165000,243469,0,0
02/01/1999,CORROSION,EXTERNAL,TX,JONES,11682,LONE STAR GAS CO (DISTRIBUTION DIVISION),GAS DISTRIBUTION,19990053,0,0,100000,147557,0,0
02/02/1999,ALL OTHER CAUSES,MISCELLANEOUS,AL,TALLADEGA,2304,CHILDERSBURG GAS BOARD,GAS TRANSMISSION,19990051,0,0,0,0,0,0
,CORROSION,INTERNAL,TX,GREGG,19136,TEJAS GAS OPERATING LLC,GAS TRANSMISSION,19990056,0,0,150000,221336,0,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NM,SANTA FE,6141,NEW MEXICO GAS COMPANY,GAS DISTRIBUTION,19990046,0,1,7500,11067,0,0
02/03/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,IL,COOK,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,19990047,0,0,25000,36889,0,0
02/07/1999,NATURAL FORCE DAMAGE,TEMPERATURE,NY,BROOME,13420,NEW YORK STATE ELECTRIC & GAS CORP,GAS DISTRIBUTION,19990052,0,1,50000,73779,0,0
02/08/1999,CORROSION,EXTERNAL,NJ,MIDDLESEX,31128,STOLTHAVEN PERTH AMBOY INC,HAZARDOUS LIQUID,19990031,0,0,50000,73779,2,2
02/09/1999,ALL OTHER CAUSES,MISCELLANEOUS,IN,JASPER,13730,NORTHERN INDIANA PUBLIC SERVICE CO,GAS DISTRIBUTION,19990061,0,2,125000,184446,0,0
,CORROSION,EXTERNAL,CA,KERN,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,19990038,0,0,500000,737785,15,15
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,TX,BOWIE,31202,"ENABLE MIDSTREAM PARTNERS, LP",GAS DISTRIBUTION,19990066,0,0,200000,295114,0,0
02/10/1999,ALL OTHER CAUSES,MISCELLANEOUS,TN,,2552,COLONIAL PIPELINE CO,HAZARDOUS LIQUID,19990096,0,0,6900000,10181433,"1,275",227
,INCORRECT OPERATION,INCORRECT OPERATION,IA,HANCOCK,6856,"KOCH PIPELINE COMPANY, L.P. AMMONIA",HAZARDOUS LIQUID,19990029,0,0,0,0,0,0
02/13/1999,ALL OTHER CAUSES,MISCELLANEOUS,IA,FRANKLIN,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,19990035,0,0,80000,118046,670,142
02/14/1999,ALL OTHER CAUSES,MISCELLANEOUS,IL,WILL,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,19990048,0,0,100000,147557,0,0
02/15/1999,INCORRECT OPERATION,INCORRECT OPERATION,KS,RENO,12452,MID - AMERICA PIPELINE CO (MAPCO),HAZARDOUS LIQUID,19990033,0,0,100,148,5,5
02/16/1999,ALL OTHER CAUSES,MISCELLANEOUS,OCS,,2325,CHEVRON USA INC,HAZARDOUS LIQUID,19990032,0,0,500000,737785,125,75
,INCORRECT OPERATION,INCORRECT OPERATION,NY,NEW YORK CITY,1845,"BUCKEYE PARTNERS, LP",HAZARDOUS LIQUID,19990136,0,0,90000,132801,40,2
02/17/1999,ALL OTHER CAUSES,MISCELLANEOUS,KS,MCPHERSON,9175,JAYHAWK PIPELINE LLC,HAZARDOUS LIQUID,19990028,0,0,9500,14018,100,35
,CORROSION,EXTERNAL,IL,LASALLE,30909,TRANSMONTAIGNE OPERATING COMPANY L.P.,HAZARDOUS LIQUID,19990039,0,0,200000,295114,0,-92
,,,MO,SCOTLAND,15156,SINCLAIR TRANSPORTATION COMPANY,HAZARDOUS LIQUID,19990034,0,0,10000,14756,12,4
02/18/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,HARRIS,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,GAS DISTRIBUTION,19990067,0,0,222850,328831,0,0
,NATURAL FORCE DAMAGE,TEMPERATURE,MA,,1209,COLUMBIA GAS OF MASSACHUSETTS,GAS DISTRIBUTION,19990059,0,1,0,0,0,0
02/22/1999,ALL OTHER CAUSES,MISCELLANEOUS,MN,,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HAZARDOUS LIQUID,19990036,0,0,50000,73779,400,15
,CORROSION,EXTERNAL,MO,ST LOUIS,11032,SPIRE MISSOURI INC. EAST,GAS DISTRIBUTION,19990071,1,0,0,0,0,0
02/24/1999,ALL OTHER CAUSES,MISCELLANEOUS,MA,ESSEX,1209,COLUMBIA GAS OF MASSACHUSETTS,GAS DISTRIBUTION,19990058,0,0,0,0,0,0
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,PA,POTTER,13063,NATIONAL FUEL GAS SUPPLY CORP,GAS TRANSMISSION,19990069,0,0,5000000,7377850,0,0
02/26/1999,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,WA,SKAMANIA,13845,NORTHWEST PIPELINE LLC,GAS TRANSMISSION,19990074,0,0,4000000,5902280,0,0
02/28/1999,ALL OTHER CAUSES,MISCELLANEOUS,CA,BUTTE,31287,WILD GOOSE STORAGE LLC,GAS GATHERING,19990082,0,0,0,0,0,0
03/01/1999,ALL OTHER CAUSES,MISCELLANEOUS,OK,PONTOTOC,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,19990042,0,0,4040,5961,204,138
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OH,LAKE,4060,DOMINION ENERGY OHIO,GAS DISTRIBUTION,19990079,0,0,50000,73779,0,0
03/02/1999,ALL OTHER CAUSES,MISCELLANEOUS,IL,MARION,30991,MOBIL OIL CORPORATION,HAZARDOUS LIQUID,19990046,0,0,50000,73779,5,1
03/03/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,NJ,ESSEX,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,GAS TRANSMISSION,19990081,0,0,80000,118046,0,0
03/04/1999,ALL OTHER CAUSES,MISCELLANEOUS,PA,MERCER,13061,NATIONAL FUEL GAS DISTRIBUTION CORP,GAS DISTRIBUTION,19990178,0,0,200000,295114,0,0
03/05/1999,CORROSION,EXTERNAL,OK,NOBEL,22855,"FLINT HILLS RESOURCES, LC",HAZARDOUS LIQUID,19990044,0,0,0,0,0,0
03/06/1999,ALL OTHER CAUSES,MISCELLANEOUS,OCS,,12622,MOBIL EXPLORATION & PRODUCING US INC,HAZARDOUS LIQUID,19990040,0,0,175000,258225,6,6
,,,PA,PHILADELPHIA,15469,PHILADELPHIA GAS WORKS,GAS DISTRIBUTION,19990077,0,2,200000,295114,0,0
,,,TX,ELLIS,4906,EXXONMOBIL PIPELINE CO,HAZARDOUS LIQUID,19990048,0,0,65300,96355,0,0
03/07/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,MI,,2748,CONSUMERS ENERGY CO,GAS TRANSMISSION,19990080,0,0,700000,1032899,0,0
,NATURAL FORCE DAMAGE,EARTH MOVEMENT,PA,PHILADELPHIA,15469,PHILADELPHIA GAS WORKS,GAS DISTRIBUTION,19990076,0,8,500000,737785,0,0
03/08/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,PA,BERKS,30736,UGI UTILITIES INC,GAS DISTRIBUTION,19990078,1,4,290000,427915,0,0
03/09/1999,ALL OTHER CAUSES,MISCELLANEOUS,KS,,22855,"FLINT HILLS RESOURCES, LC",HAZARDOUS LIQUID,19990045,0,0,35000,51645,5,5
03/11/1999,NATURAL FORCE DAMAGE,EARTH MOVEMENT,MN,RAMSEY,13782,NORTHERN STATES POWER CO,GAS DISTRIBUTION,19990083,0,0,70000,103290,0,0
03/12/1999,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,OK,GARVIN,30855,LINK ENERGY PIPELINE LIMITED PARTNERSHIP,HAZARDOUS LIQUID,19990043,0,0,6600,9739,75,5
,,THIRD PARTY EXCAVATION DAMAGE,FL,PINELLAS,19080,PEOPLES GAS CO,GAS DISTRIBUTION,19990068,0,1,0,0,0,0
03/13/1999,ALL OTHER CAUSES,MISCELLANEOUS,OK,JACKSON,14210,"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.",GAS DISTRIBUTION,19990085,0,0,59500,87796,0,0
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,MN,RAMSEY,13782,NORTHERN STATES POWER CO,GAS DISTRIBUTION,19990084,0,0,60000,88534,0,0
03/15/1999,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,MI,WAYNE,12408,DTE GAS COMPANY,GAS DISTRIBUTION,19990072,0,1,0,0,0,0
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,FL,PINELLAS,15342,PEOPLES GAS SYSTEM INC,GAS DISTRIBUTION,19990094,0,0,80000,118046,0,0
03/16/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MI,BRANCH,1683,BP PIPELINES INC,HAZARDOUS LIQUID,19990051,0,0,280000,413160,80,5
,,,NV,WASHOE,18308,NV ENERGY,GAS DISTRIBUTION,19990087,0,0,130000,191824,0,0
03/19/1999,ALL OTHER CAUSES,MISCELLANEOUS,WY,PLATTE,15156,SINCLAIR TRANSPORTATION COMPANY,HAZARDOUS LIQUID,19990052,0,0,150000,221336,"3,370",1351
,INCORRECT OPERATION,INCORRECT OPERATION,IN,LAKE,30909,TRANSMONTAIGNE OPERATING COMPANY L.P.,HAZARDOUS LIQUID,19990050,0,1,517000,762870,285,185
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,MI,INGHAM,2748,CONSUMERS ENERGY CO,GAS DISTRIBUTION,19990088,0,0,100000,147557,0,0
03/23/1999,ALL OTHER CAUSES,MISCELLANEOUS,CA,KINGS,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,19990056,0,0,25000,36889,200,15
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,N/A,,2620,"COLUMBIA GULF TRANSMISSION, LLC",GAS TRANSMISSION,19990086,0,0,70000,103290,0,0
,,,OK,GARVIN,18162,SEAWAY PIPELINE INC,HAZARDOUS LIQUID,19990060,0,0,150000,221336,13,3
03/24/1999,CORROSION,EXTERNAL,GA,HARRIS,15674,PLANTATION PIPE LINE CO,HAZARDOUS LIQUID,19990053,0,0,100000,147557,30,25
,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,IL,WILL,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,19990057,0,0,500000,737785,"2,693",1331
03/25/1999,ALL OTHER CAUSES,MISCELLANEOUS,IL,COOK,22430,WEST SHORE PIPELINE CO,HAZARDOUS LIQUID,19990055,0,0,0,0,340,4
03/30/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,IN,PARKE,31058,MARATHON ASHLAND PIPE LINE LLC,HAZARDOUS LIQUID,19990061,0,0,410000,604984,"1,487",50
03/31/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NC,MECKLENBURG,15518,PIEDMONT NATURAL GAS CO INC,GAS DISTRIBUTION,19990090,0,0,100000,147557,0,0
04/04/1999,CORROSION,EXTERNAL,PA,LUZERNE,19223,SUN PIPELINE CORP - GENERAL WASH BLDG,HAZARDOUS LIQUID,19990072,0,0,70000,103290,8,1
04/05/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,PARKER,18162,SEAWAY PIPELINE INC,HAZARDOUS LIQUID,19990062,0,0,1500000,2213355,"1,516",616
04/06/1999,ALL OTHER CAUSES,MISCELLANEOUS,TX,,21031,"PG & E TEXAS PIPELINE, L.P.",HAZARDOUS LIQUID,19990066,0,0,450000,664007,3,3
,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NM,SANDOVAL,19326,TEXAS - NEW MEXICO PIPELINE CO,HAZARDOUS LIQUID,19990063,0,0,200000,295114,505,85
04/07/1999,ALL OTHER CAUSES,MISCELLANEOUS,IN,WARRICK,31058,MARATHON ASHLAND PIPE LINE LLC,HAZARDOUS LIQUID,20010055,0,0,215000,317248,250,15
04/14/1999,ALL OTHER CAUSES,MISCELLANEOUS,KS,RENO,9175,JAYHAWK PIPELINE LLC,HAZARDOUS LIQUID,19990064,0,0,3500,5164,56,36
04/15/1999,ALL OTHER CAUSES,MISCELLANEOUS,CA,KERN,31325,PACIFIC PIPELINE SYSTEM LLC,HAZARDOUS LIQUID,19990069,0,0,250000,368893,480,2
04/19/1999,CORROSION,INTERNAL,TX,HAWKINS,4906,EXXONMOBIL PIPELINE CO,HAZARDOUS LIQUID,19990068,0,0,7500,11067,50,1
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,MCLENNAN,11682,LONE STAR GAS CO (DISTRIBUTION DIVISION),GAS DISTRIBUTION,19990095,0,1,0,0,0,0
04/21/1999,INCORRECT OPERATION,INCORRECT OPERATION,GA,COBB,2552,COLONIAL PIPELINE CO,HAZARDOUS LIQUID,19990071,0,0,331273,488817,280,259
04/22/1999,ALL OTHER CAUSES,MISCELLANEOUS,IL,,31058,MARATHON ASHLAND PIPE LINE LLC,HAZARDOUS LIQUID,19990078,0,0,183000,270029,0,0
,,,TX,ECTOR,2731,CHEVRON PIPE LINE CO,HAZARDOUS LIQUID,19990081,0,0,50000,73779,150,10
04/23/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MN,OTTERTAIL,443,AMOCO PIPELINE CO,HAZARDOUS LIQUID,19990076,0,0,0,0,600,450
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,CO,JEFFERSON,15931,PUBLIC SERVICE CO OF COLORADO,GAS DISTRIBUTION,19990091,0,0,50000,73779,0,0
04/28/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,HEDERSON,22175,"TARGA MIDSTREAM SERVICES, L.P.",HAZARDOUS LIQUID,19990067,0,0,750000,1106678,327,327
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,CA,LOS ANGELES,18092,"SFPP, LP",HAZARDOUS LIQUID,19990079,0,0,235000,346759,0,0
04/29/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,IL,WILL,13710,NORTHERN ILLINOIS GAS CO,GAS DISTRIBUTION,19990093,0,2,1500,2213,0,0
04/30/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,NJ,GLOUCESTER,19223,SUN PIPELINE CORP - GENERAL WASH BLDG,HAZARDOUS LIQUID,19990073,0,0,70000,103290,7,4
05/01/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,AL,BARBOUR,18456,SOUTHEAST GAS,GAS DISTRIBUTION,19990098,0,1,90000,132801,0,0
,,,IA,POLK,22855,"FLINT HILLS RESOURCES, LC",HAZARDOUS LIQUID,19990075,0,0,1600000,2360912,"3,663",1
,,,TX,HARRIS,443,AMOCO PIPELINE CO,HAZARDOUS LIQUID,19990074,0,0,50000,73779,725,57
05/03/1999,ALL OTHER CAUSES,MISCELLANEOUS,MI,,3466,DOME PETROLEUM CORP,HAZARDOUS LIQUID,19990080,0,0,0,0,5,5
,,,OK,OKLAHOMA,14210,"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.",GAS DISTRIBUTION,19990099,0,0,1000000,1475570,0,0
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,CO,DENVER,15931,PUBLIC SERVICE CO OF COLORADO,GAS DISTRIBUTION,19990092,0,1,125000,184446,0,0
05/07/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,CALDWELL,30755,CITGO PRODUCTS PIPELINE CO,HAZARDOUS LIQUID,19990070,0,0,250000,368893,389,349
05/09/1999,CORROSION,INTERNAL,KS,MCPHERSON,9175,JAYHAWK PIPELINE LLC,HAZARDOUS LIQUID,19990077,0,0,5500,8116,100,100
05/10/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,KS,ATCHISON,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,19990088,0,0,1000000,1475570,"4,565",1771
05/11/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,CA,LOS ANGELES,26058,LOS ANGELES DEPT OF WATER & POWER,HAZARDOUS LIQUID,19990083,0,0,50000,73779,535,0
05/12/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,WI,GREEN,13750,NORTHERN NATURAL GAS CO,GAS TRANSMISSION,19990101,0,0,50000,73779,0,0
05/13/1999,CORROSION,EXTERNAL,TX,ORANGE,20245,MIDCON TEXAS PIPELINE CORP.,GAS TRANSMISSION,19990100,0,0,45000,66401,0,0
,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,TX,,12452,MID - AMERICA PIPELINE CO (MAPCO),HAZARDOUS LIQUID,19990082,0,0,40000,59023,330,330
05/17/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,TX,ROBERTSON,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,19990085,0,0,50000,73779,10,0
05/19/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,CO,LARIMER,15931,PUBLIC SERVICE CO OF COLORADO,GAS DISTRIBUTION,19990096,0,0,0,0,0,0
05/20/1999,INCORRECT OPERATION,INCORRECT OPERATION,KS,SEDGWICK,15490,PHILLIPS PIPE LINE CO,HAZARDOUS LIQUID,19990086,0,0,680,1003,50,50
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,N/A,,2620,"COLUMBIA GULF TRANSMISSION, LLC",GAS TRANSMISSION,19990105,0,0,60000,88534,0,0
05/24/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,IA,WORTH,22610,"MAGELLAN PIPELINE COMPANY, LP",HAZARDOUS LIQUID,19990089,0,0,283000,417586,73,73
05/26/1999,CORROSION,EXTERNAL,IL,KANKAKEE,15490,PHILLIPS PIPE LINE CO,HAZARDOUS LIQUID,19990087,0,0,20000,29511,35,35
05/27/1999,ALL OTHER CAUSES,MISCELLANEOUS,NC,MECKLENBURG,15518,PIEDMONT NATURAL GAS CO INC,GAS DISTRIBUTION,19990109,0,1,0,0,0,0
05/28/1999,CORROSION,INTERNAL,OK,GRADY,31286,"ONEOK GAS TRANSPORTATION, LLC",GAS TRANSMISSION,19990104,0,0,70000,103290,0,0
06/01/1999,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,OK,PAYNE,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,19990091,0,0,20000,29511,300,0
06/03/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,WV,KANAWHA,12878,MOUNTAINEER GAS CO,GAS DISTRIBUTION,19990106,0,1,0,0,0,0
06/04/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,KY,JEFFERSON,11824,LOUISVILLE GAS & ELECTRIC CO,GAS DISTRIBUTION,19990103,0,0,70000,103290,0,0
06/08/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,CA,KERN,31174,"SHELL PIPELINE CO., L.P.",HAZARDOUS LIQUID,19990105,0,0,10000,14756,670,20
06/10/1999,ALL OTHER CAUSES,MISCELLANEOUS,WA,WHATCOM,30781,OLYMPIC PIPE LINE COMPANY,HAZARDOUS LIQUID,19990107,3,8,45000000,66400651,"5,475",5241
06/13/1999,CORROSION,INTERNAL,IL,LIVINGSTON,13710,NORTHERN ILLINOIS GAS CO,GAS GATHERING,19990108,0,0,1800000,2656026,0,0
06/15/1999,INCORRECT OPERATION,INCORRECT OPERATION,MI,CALHOUN,18472,SEMCO ENERGY GAS COMPANY,GAS DISTRIBUTION,19990111,0,0,370000,545961,0,0
06/16/1999,CORROSION,UNSPECIFIED CORROSION,LA,,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",HAZARDOUS LIQUID,19990094,0,0,50000,73779,"1,163",900
06/21/1999,ALL OTHER CAUSES,MISCELLANEOUS,OK,,30855,LINK ENERGY PIPELINE LIMITED PARTNERSHIP,HAZARDOUS LIQUID,19990093,0,0,1500,2213,105,0
06/23/1999,ALL OTHER CAUSES,MISCELLANEOUS,TX,GREGG,12470,MID - VALLEY PIPELINE CO,HAZARDOUS LIQUID,19990097,0,0,7500,11067,694,14
06/24/1999,INCORRECT OPERATION,INCORRECT OPERATION,PA,ALLEGHENY,1845,"BUCKEYE PARTNERS, LP",HAZARDOUS LIQUID,19990099,0,0,4300,6345,100,1
06/25/1999,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,CO,SUMMIT,15931,PUBLIC SERVICE CO OF COLORADO,GAS DISTRIBUTION,19990110,0,0,0,0,0,0
,,THIRD PARTY EXCAVATION DAMAGE,MI,LIVINGSTON,2748,CONSUMERS ENERGY CO,GAS DISTRIBUTION,19990113,0,0,500000,737785,0,0
06/27/1999,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,FL,OSCEOLA,2190,CENTRAL FLORIDA PIPELINE CORP,HAZARDOUS LIQUID,19990095,0,0,45000,66401,0,0
